"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "2", "SYSTEM", "Thread Start", "main (1)"
"main", "3", "SYSTEM", "Type Load", "class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", "class=ReadersWritersSemaphore"
"main", "5", "ReadersWritersSemaphore.java:11", "Method Call", "caller=SYSTEM, target=ReadersWritersSemaphore#main:1"
"main", "6", "ReadersWritersSemaphore.java:9", "Method Entered", ""
"main", "7", "ReadersWritersSemaphore.java:9", "Variable Write", "context=ReadersWritersSemaphore#main:1, args=java.lang.String[0] (id=343)"
"main", "8", "ReadersWritersSemaphore.java:11", "Line Step", "file=ReadersWritersSemaphore.java, line=11"
"main", "9", "SYSTEM", "Type Load", "class=Database"
"main", "10", "ReadersWritersSemaphore.java:11", "New Object", "object=Database:1"
"main", "11", "ReadersWritersSemaphore.java:11", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Database:1#Database:1"
"main", "12", "ReadersWritersSemaphore.java:86", "Method Entered", ""
"main", "13", "ReadersWritersSemaphore.java:84", "Line Step", "file=ReadersWritersSemaphore.java, line=84"
"main", "14", "ReadersWritersSemaphore.java:86", "Line Step", "file=ReadersWritersSemaphore.java, line=86"
"main", "15", "ReadersWritersSemaphore.java:86", "Field Write", "context=Database:1, s1=java.util.concurrent.Semaphore (id=347)"
"main", "16", "ReadersWritersSemaphore.java:87", "Line Step", "file=ReadersWritersSemaphore.java, line=87"
"main", "17", "ReadersWritersSemaphore.java:87", "Field Write", "context=Database:1, s2_r=java.util.concurrent.Semaphore (id=349)"
"main", "18", "ReadersWritersSemaphore.java:88", "Line Step", "file=ReadersWritersSemaphore.java, line=88"
"main", "19", "ReadersWritersSemaphore.java:88", "Field Write", "context=Database:1, s2_w=java.util.concurrent.Semaphore (id=350)"
"main", "20", "ReadersWritersSemaphore.java:90", "Line Step", "file=ReadersWritersSemaphore.java, line=90"
"main", "21", "ReadersWritersSemaphore.java:90", "Field Write", "context=Database:1, data=0"
"main", "22", "ReadersWritersSemaphore.java:91", "Line Step", "file=ReadersWritersSemaphore.java, line=91"
"main", "23", "ReadersWritersSemaphore.java:91", "Field Write", "context=Database:1, r=0"
"main", "24", "ReadersWritersSemaphore.java:92", "Line Step", "file=ReadersWritersSemaphore.java, line=92"
"main", "25", "ReadersWritersSemaphore.java:92", "Field Write", "context=Database:1, w=0"
"main", "26", "ReadersWritersSemaphore.java:93", "Line Step", "file=ReadersWritersSemaphore.java, line=93"
"main", "27", "ReadersWritersSemaphore.java:93", "Field Write", "context=Database:1, ww=0"
"main", "28", "ReadersWritersSemaphore.java:94", "Line Step", "file=ReadersWritersSemaphore.java, line=94"
"main", "29", "ReadersWritersSemaphore.java:94", "Field Write", "context=Database:1, wr=0"
"main", "30", "ReadersWritersSemaphore.java:84", "Line Step", "file=ReadersWritersSemaphore.java, line=84"
"main", "31", "ReadersWritersSemaphore.java:84", "Method Exit", "returner=Database:1#Database:1, value=<void>"
"main", "32", "ReadersWritersSemaphore.java:11", "Method Returned", ""
"main", "33", "ReadersWritersSemaphore.java:11", "Line Step", "file=ReadersWritersSemaphore.java, line=11"
"main", "34", "ReadersWritersSemaphore.java:11", "Variable Write", "context=ReadersWritersSemaphore#main:1, d=Database:1"
"main", "35", "ReadersWritersSemaphore.java:13", "Line Step", "file=ReadersWritersSemaphore.java, line=13"
"main", "36", "SYSTEM", "Type Load", "class=java.lang.Thread"
"main", "37", "SYSTEM", "Type Load", "class=Writer"
"main", "38", "ReadersWritersSemaphore.java:13", "New Object", "object=Writer:1"
"main", "39", "ReadersWritersSemaphore.java:13", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Writer:1#Writer:1"
"main", "40", "ReadersWritersSemaphore.java:68", "Method Entered", ""
"main", "41", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:1#Writer:1, x=1"
"main", "42", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:1#Writer:1, d=Database:1"
"main", "43", "ReadersWritersSemaphore.java:68", "Line Step", "file=ReadersWritersSemaphore.java, line=68"
"main", "44", "ReadersWritersSemaphore.java:69", "Line Step", "file=ReadersWritersSemaphore.java, line=69"
"main", "45", "ReadersWritersSemaphore.java:69", "Field Write", "context=Writer:1, d=Database:1"
"main", "46", "ReadersWritersSemaphore.java:70", "Line Step", "file=ReadersWritersSemaphore.java, line=70"
"main", "47", "ReadersWritersSemaphore.java:70", "Field Write", "context=Writer:1, x=1"
"main", "48", "ReadersWritersSemaphore.java:71", "Line Step", "file=ReadersWritersSemaphore.java, line=71"
"main", "49", "ReadersWritersSemaphore.java:71", "Method Exit", "returner=Writer:1#Writer:1, value=<void>"
"main", "50", "ReadersWritersSemaphore.java:13", "Method Returned", ""
"main", "51", "ReadersWritersSemaphore.java:13", "Line Step", "file=ReadersWritersSemaphore.java, line=13"
"main", "52", "ReadersWritersSemaphore.java:13", "Variable Write", "context=ReadersWritersSemaphore#main:1, w1=Writer:1"
"main", "53", "ReadersWritersSemaphore.java:14", "Line Step", "file=ReadersWritersSemaphore.java, line=14"
"main", "54", "ReadersWritersSemaphore.java:14", "New Object", "object=Writer:2"
"main", "55", "ReadersWritersSemaphore.java:14", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Writer:2#Writer:2"
"main", "56", "ReadersWritersSemaphore.java:68", "Method Entered", ""
"main", "57", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:2#Writer:2, x=10"
"main", "58", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:2#Writer:2, d=Database:1"
"main", "59", "ReadersWritersSemaphore.java:68", "Line Step", "file=ReadersWritersSemaphore.java, line=68"
"main", "60", "ReadersWritersSemaphore.java:69", "Line Step", "file=ReadersWritersSemaphore.java, line=69"
"main", "61", "ReadersWritersSemaphore.java:69", "Field Write", "context=Writer:2, d=Database:1"
"main", "62", "ReadersWritersSemaphore.java:70", "Line Step", "file=ReadersWritersSemaphore.java, line=70"
"main", "63", "ReadersWritersSemaphore.java:70", "Field Write", "context=Writer:2, x=10"
"main", "64", "ReadersWritersSemaphore.java:71", "Line Step", "file=ReadersWritersSemaphore.java, line=71"
"main", "65", "ReadersWritersSemaphore.java:71", "Method Exit", "returner=Writer:2#Writer:2, value=<void>"
"main", "66", "ReadersWritersSemaphore.java:14", "Method Returned", ""
"main", "67", "ReadersWritersSemaphore.java:14", "Line Step", "file=ReadersWritersSemaphore.java, line=14"
"main", "68", "ReadersWritersSemaphore.java:14", "Variable Write", "context=ReadersWritersSemaphore#main:1, w2=Writer:2"
"main", "69", "ReadersWritersSemaphore.java:15", "Line Step", "file=ReadersWritersSemaphore.java, line=15"
"main", "70", "ReadersWritersSemaphore.java:15", "New Object", "object=Writer:3"
"main", "71", "ReadersWritersSemaphore.java:15", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Writer:3#Writer:3"
"main", "72", "ReadersWritersSemaphore.java:68", "Method Entered", ""
"main", "73", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:3#Writer:3, x=100"
"main", "74", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:3#Writer:3, d=Database:1"
"main", "75", "ReadersWritersSemaphore.java:68", "Line Step", "file=ReadersWritersSemaphore.java, line=68"
"main", "76", "ReadersWritersSemaphore.java:69", "Line Step", "file=ReadersWritersSemaphore.java, line=69"
"main", "77", "ReadersWritersSemaphore.java:69", "Field Write", "context=Writer:3, d=Database:1"
"main", "78", "ReadersWritersSemaphore.java:70", "Line Step", "file=ReadersWritersSemaphore.java, line=70"
"main", "79", "ReadersWritersSemaphore.java:70", "Field Write", "context=Writer:3, x=100"
"main", "80", "ReadersWritersSemaphore.java:71", "Line Step", "file=ReadersWritersSemaphore.java, line=71"
"main", "81", "ReadersWritersSemaphore.java:71", "Method Exit", "returner=Writer:3#Writer:3, value=<void>"
"main", "82", "ReadersWritersSemaphore.java:15", "Method Returned", ""
"main", "83", "ReadersWritersSemaphore.java:15", "Line Step", "file=ReadersWritersSemaphore.java, line=15"
"main", "84", "ReadersWritersSemaphore.java:15", "Variable Write", "context=ReadersWritersSemaphore#main:1, w3=Writer:3"
"main", "85", "ReadersWritersSemaphore.java:16", "Line Step", "file=ReadersWritersSemaphore.java, line=16"
"main", "86", "ReadersWritersSemaphore.java:16", "New Object", "object=Writer:4"
"main", "87", "ReadersWritersSemaphore.java:16", "Method Call", "caller=ReadersWritersSemaphore#main:1, target=Writer:4#Writer:4"
"main", "88", "ReadersWritersSemaphore.java:68", "Method Entered", ""
"main", "89", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:4#Writer:4, x=1000"
"main", "90", "ReadersWritersSemaphore.java:68", "Variable Write", "context=Writer:4#Writer:4, d=Database:1"
"main", "91", "ReadersWritersSemaphore.java:68", "Line Step", "file=ReadersWritersSemaphore.java, line=68"
"main", "92", "ReadersWritersSemaphore.java:69", "Line Step", "file=ReadersWritersSemaphore.java, line=69"
"main", "93", "ReadersWritersSemaphore.java:69", "Field Write", "context=Writer:4, d=Database:1"
